Unnamed: 0,work_year,salary,salary_in_usd,remote_ratio
0.0,2020.0,70000.0,79833.0,0.0
1.0,2020.0,260000.0,260000.0,0.0
2.0,2020.0,85000.0,109024.0,50.0
3.0,2020.0,20000.0,20000.0,0.0
4.0,2020.0,150000.0,150000.0,50.0
5.0,2020.0,72000.0,72000.0,100.0
6.0,2020.0,190000.0,190000.0,100.0
7.0,2020.0,11000000.0,35735.0,50.0
8.0,2020.0,135000.0,135000.0,100.0
9.0,2020.0,125000.0,125000.0,50.0
10.0,2020.0,45000.0,51321.0,0.0
11.0,2020.0,3000000.0,40481.0,0.0
12.0,2020.0,35000.0,39916.0,0.0
13.0,2020.0,87000.0,87000.0,100.0
14.0,2020.0,85000.0,85000.0,100.0
15.0,2020.0,8000.0,8000.0,50.0
16.0,2020.0,4450000.0,41689.0,100.0
17.0,2020.0,100000.0,114047.0,100.0
18.0,2020.0,423000.0,5707.0,50.0
19.0,2020.0,56000.0,56000.0,100.0
20.0,2020.0,299000.0,43331.0,0.0
21.0,2020.0,450000.0,6072.0,100.0
22.0,2020.0,42000.0,47899.0,50.0
23.0,2020.0,98000.0,98000.0,0.0
24.0,2020.0,115000.0,115000.0,0.0
25.0,2020.0,325000.0,325000.0,100.0
26.0,2020.0,42000.0,42000.0,50.0
27.0,2020.0,720000.0,33511.0,0.0
28.0,2020.0,100000.0,100000.0,100.0
29.0,2020.0,157000.0,117104.0,50.0
30.0,2020.0,51999.0,59303.0,100.0
31.0,2020.0,70000.0,70000.0,100.0
32.0,2020.0,60000.0,68428.0,100.0
33.0,2020.0,450000.0,450000.0,0.0
34.0,2020.0,41000.0,46759.0,50.0
35.0,2020.0,65000.0,74130.0,50.0
36.0,2020.0,103000.0,103000.0,100.0
37.0,2020.0,250000.0,250000.0,50.0
38.0,2020.0,10000.0,10000.0,100.0
39.0,2020.0,138000.0,138000.0,100.0
40.0,2020.0,45760.0,45760.0,100.0
41.0,2020.0,70000.0,79833.0,50.0
42.0,2020.0,44000.0,50180.0,0.0
43.0,2020.0,106000.0,106000.0,100.0
44.0,2020.0,88000.0,112872.0,50.0
45.0,2020.0,14000.0,15966.0,100.0
46.0,2020.0,60000.0,76958.0,100.0
47.0,2020.0,188000.0,188000.0,100.0
48.0,2020.0,105000.0,105000.0,100.0
49.0,2020.0,61500.0,70139.0,50.0
50.0,2020.0,450000.0,6072.0,0.0
51.0,2020.0,91000.0,91000.0,100.0
52.0,2020.0,300000.0,45896.0,50.0
53.0,2020.0,48000.0,54742.0,100.0
54.0,2020.0,60000.0,60000.0,100.0
55.0,2020.0,130000.0,148261.0,100.0
56.0,2020.0,34000.0,38776.0,100.0
57.0,2020.0,118000.0,118000.0,100.0
58.0,2020.0,120000.0,120000.0,50.0
59.0,2020.0,138350.0,138350.0,100.0
60.0,2020.0,110000.0,110000.0,100.0
61.0,2020.0,130800.0,130800.0,100.0
62.0,2020.0,19000.0,21669.0,50.0
63.0,2020.0,412000.0,412000.0,100.0
64.0,2020.0,40000.0,45618.0,100.0
65.0,2020.0,55000.0,62726.0,50.0
66.0,2020.0,43200.0,49268.0,0.0
67.0,2020.0,190200.0,190200.0,100.0
68.0,2020.0,105000.0,105000.0,100.0
69.0,2020.0,80000.0,91237.0,0.0
70.0,2020.0,55000.0,62726.0,50.0
71.0,2020.0,37000.0,42197.0,50.0
72.0,2021.0,60000.0,82528.0,50.0
73.0,2021.0,150000.0,150000.0,100.0
74.0,2021.0,235000.0,235000.0,100.0
75.0,2021.0,45000.0,53192.0,50.0
76.0,2021.0,100000.0,100000.0,100.0
77.0,2021.0,400000.0,5409.0,50.0
78.0,2021.0,270000.0,270000.0,100.0
79.0,2021.0,80000.0,80000.0,100.0
80.0,2021.0,67000.0,79197.0,100.0
81.0,2021.0,140000.0,140000.0,100.0
82.0,2021.0,68000.0,54238.0,50.0
83.0,2021.0,40000.0,47282.0,100.0
84.0,2021.0,130000.0,153667.0,100.0
85.0,2021.0,110000.0,28476.0,100.0
86.0,2021.0,50000.0,59102.0,50.0
87.0,2021.0,110000.0,110000.0,100.0
88.0,2021.0,170000.0,170000.0,100.0
89.0,2021.0,80000.0,80000.0,100.0
90.0,2021.0,75000.0,88654.0,100.0
91.0,2021.0,65000.0,76833.0,100.0
92.0,2021.0,1450000.0,19609.0,100.0
